strainID,CC_or_ST,CC_or_ST:color,Source,Source:color,tet_gene,tet_gene:color,Quinolone_gene,Quinolone_gene:color,macrolide_gene,macrolide_gene:color,aminoglycoside_gene,aminoglycoside_gene:color
S-LS-30-CJ-C-18-2-1-8,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
S-LS-30-CJ-C-57-1-1-32,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
S-FF-R1-CJ-C-1-1-1-57,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
S-FF-R2-CJ-C-3-1-1-70,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12598,,,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
SC1,,,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
S-LS-30-CJ-C-53-1-1-26,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
S-FF-R1-CJ-C-6-1-1-42,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-FF-R2-CJ-C-5-1-1-92,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12210,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
SC25,Others,#7F7F7F,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
S-LS-30-CJ-C-58-2-1-34,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12168,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
SC24,Others,#7F7F7F,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
S-FF-R2-CJ-C-2-1-1-68,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12631,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12175,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-FF-R2-CJ-C-3-1-1-88,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12150,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-LS-30-CJ-C-39-1-1-19,,,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12547,Others,#7F7F7F,Human,#FF0000,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12163,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12161,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12513,,,Human,#FF0000,tet(O),#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12526,Others,#7F7F7F,Human,#FF0000,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-FF-R2-CJ-C-6-2-1-32,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-FF-R1-CJ-C-3-1-1-18,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-FF-R2-CJ-C-1-1-1-17,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-LS-30-CJ-C-141-1-1-74,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12494,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12649,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
SC23,,,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,rpsL_K43R,#0000ff
SC56,,,Chicken_meat,#00FF00,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
SC37,,,Chicken_meat,#00FF00,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-LS-30-CJ-C-83-1-1-49,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-FF-R2-CJ-C-1-1-1-37,,,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12241,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12507,Others,#7F7F7F,Human,#FF0000,tet(O)*,#67991C,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
S-FF-R3-CJ-C-2-1-1-86,Others,#7F7F7F,Chicken_stool,#0E8F8F,tet(O)*,#67991C,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12567,Others,#7F7F7F,Human,#FF0000,tet(O)*,#67991C,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12174,Others,#7F7F7F,Human,#FF0000,tet(O)*,#67991C,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12602,,,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
HP12604,,,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
SC7,,,Chicken_meat,#00FF00,tet(O/M/O),#ADFF2F,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
S-LS-30-CJ-C-70-2-1-41,,,Chicken_stool,#0E8F8F,tet(O),#67991C,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12214,Others,#7F7F7F,Human,#FF0000,tet(O),#67991C,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
HP12543,ST-464 complex,#E4007F,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
SC48,Others,#7F7F7F,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
S-LS-30-CJ-C-121-2-1-65,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
HP12514,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
SC5,ST-52 complex,#F5B090,Chicken_meat,#00FF00,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
SC31,ST-52 complex,#F5B090,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
SC21,ST-52 complex,#F5B090,Chicken_meat,#00FF00,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
HP12195,ST-464 complex,#E4007F,Human,#FF0000,tet(O)^,#67991C,None,#CCCCCC,None,#CCCCCC,"aadE,aph(3')-IIIa",#FF0080
HP12541,ST-464 complex,#E4007F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-FF-R2-CJ-C-4-1-1-27,ST-464 complex,#E4007F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12193,ST-464 complex,#E4007F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
S-FF-R2-CJ-C-3-1-1-78,ST-464 complex,#E4007F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12194,ST-464 complex,#E4007F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
S-LS-30-CJ-C-79-1-1-47,ST-464 complex,#E4007F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
S-FF-R2-CJ-C-2-1-1-86,ST-464 complex,#E4007F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
S-FF-R3-CJ-C-5-1-1-100,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-FF-R3-CJ-C-1-2-1-94,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-FF-R3-CJ-C-2-1-1-95,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12208,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12144,Others,#7F7F7F,Human,#FF0000,tet(O)*,#67991C,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
SC6,Others,#7F7F7F,Chicken_meat,#00FF00,tet(O)*,#67991C,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12191,,,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12189,,,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
S-LS-30-CJ-C-44-1-1-24,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
S-LS-30-CJ-C-42-2-1-23,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
HP12638,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12244,Others,#7F7F7F,Human,#FF0000,tet(O),#67991C,gyrA_T86I,#916523,23S_A2075G,#78BCFF,"aadE,ant(6)-Ia^,aph(3')-IIIa",#FF0080
HP12152,Others,#7F7F7F,Human,#FF0000,tet(O),#67991C,gyrA_T86I,#916523,23S_A2075G,#78BCFF,"aadE,ant(6)-Ia^,aph(3')-IIIa,aad9*",#FF0080
HP12497,ST-52 complex,#F5B090,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
HP12213,Others,#7F7F7F,Human,#FF0000,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
SC27,Others,#7F7F7F,Chicken_meat,#00FF00,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12164,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-FF-R2-CJ-C-7-2-1-65,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-FF-R1-CJ-C-1-1-1-46,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-FF-R2-CJ-C-2-1-1-23,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
SC39,Others,#7F7F7F,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
SC33,Others,#7F7F7F,Chicken_meat,#00FF00,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12614,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12504,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12224,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12199,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-FF-R1-CJ-C-5-1-1-40,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-SA-R1-CJ-B-296-1-104,Others,#7F7F7F,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-5-1-94,Others,#7F7F7F,Cattle_stool,#FEF08A,tet(O),#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-R1-CJ-B-33-1-9,Others,#7F7F7F,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12613,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-16-1-61,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-3-1-92,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-42-1-42,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-LS-30-CJ-B-99-1-11,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-14-1-14,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,23S_A2075G,#78BCFF,None,#CCCCCC
S-SA-R1-CJ-B-222-1-79,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa*,#ffc000
S-LS-30-CJ-B-203-1-36,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-11-1-11,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12599,,,Human,#FF0000,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-LS-30-CJ-B-63-1-4,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-2-1-103,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-FF-R1-CJ-C-2-1-1-36,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-R1-CJ-B-338-1-125,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-27-1-27,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-FF-R2-CJ-C-1-1-1-44,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,23S_A2075G,#78BCFF,None,#CCCCCC
HP12623,ST-21 complex,#E60012,Human,#FF0000,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-12-1-101,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-17-1-17,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-8-1-97,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-38-1-83,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12523,ST-21 complex,#E60012,Human,#FF0000,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-R1-CJ-B-290-1-101,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-2-1-91,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-40-1-40,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-R1-CJ-B-9-1-4,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-03-CJ-B-1-1-99,,,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-26-1-71,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-23-1-68,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-R1-CJ-B-244-1-88,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12636,,,Human,#FF0000,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-R1-CJ-B-187-1-65,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-03-CJ-B-1-1-45,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,23S_A2075G,#78BCFF,None,#CCCCCC
S-SA-02-CJ-B-38-1-38,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-R1-CJ-B-106-1-38,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-11-1-100,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-14-1-59,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-44-1-89,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-R1-CJ-B-280-1-99,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-R1-CJ-B-194-1-67,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-R1-CJ-B-197-1-68,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-FF-R1-CJ-C-4-1-1-29,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-1-1-90,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-SA-R1-CJ-B-271-1-97,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-22-1-22,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-R1-CJ-B-293-1-103,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-37-1-82,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-LS-30-CJ-B-202-1-35,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-FF-R2-CJ-C-2-1-1-46,ST-21 complex,#E60012,Chicken_stool,#0E8F8F,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,23S_A2075G,#78BCFF,None,#CCCCCC
S-SA-R1-CJ-B-143-1-49,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-R1-CJ-B-141-1-48,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-7-1-52,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12592,ST-21 complex,#E60012,Human,#FF0000,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,23S_A2075G,#78BCFF,rpsL_K43R,#0000ff
S-SA-03-CJ-B-43-1-87,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-SA-R1-CJ-B-128-1-41,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,gyrA_T86I,#916523,None,#CCCCCC,aph(3')-IIIa*,#ffc000
S-SA-02-CJ-B-25-1-70,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-8-1-53,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O/M/O)*,#ADFF2F,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
HP12552,ST-21 complex,#E60012,Human,#FF0000,tet(O/M/O)*,#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-44-1-44,ST-21 complex,#E60012,Cattle_stool,#FEF08A,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
S-SA-02-CJ-B-40-1-85,ST-21 complex,#E60012,Cattle_stool,#FEF08A,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
